label,review
0,"Sometimes i need a utility knife to carry with me. I also love that it's easier to carry a pair of sunglasses than a pair of sunglasses. The plastic is nice and strong and the color is beautiful. It's a little thin for a regular mesh bag but still great for carrying with me. The only negative is the color. I had to work on it a little bit to get it to match my new colors. I am not sure if it will be perfect, but if it is, I will be buying another pair. I use this for my elliptical workout. It is super light and easy to use. It fits my bike perfectly. It is a little difficult to use, but it works great. I bought these to use when I ride my bike at night. They are a little hard to pull off the seat but I do not have to worry about that. They work great and have been great for my husband's riding. These socks are a great quality and very comfortable. The material is soft and comfortable. They are also lightweight so you can wear them on a long bike ride. They do not appear to be very long and I can wear them on my back or on the head. I am very pleased with the quality of the socks and will buy more soon."
0,"Ok it is faster to use than the stock Garmin. I will keep my Garmin in this one.I bought this for a friend, and he is very happy with the purchase.  The only thing I wish it had been a little bit better"
1,"I bought the Lysol No Touch Kitchen System because I hate touching the soap dispenser when I have yucky things on my hands while I am cooking.
I was happy with the ease of set up. Just click in the soap and turn it on!
The berry soap smell is nice, not overpowering.
My only negative is it took a bit to figure out where to put the sponge/my hand to get the soap to come out."
0,"Nothing extraordinary, a standard pair of jeans, with a comfortable fit.  These pants are a bit bulky, so I had to get a size down"
1,"Simply put, they are fantastic.  Very happy with my purchase!  Thank you!"
0,"I've been a photographer for 13 years and have done a few things that make me think about how to get better at photography. I am a photographer by trade and have had great results with this camera. I have been in the field for several years and have had good luck.

I love it. I have used it for over a year and have had no problems. I love it. I have used it for over a year and have had no problems. I love it. I have used it for over a year and have had no problems. I love it. I have used it for over a year and have had no problems. I love it. I have used it for over a year and have had no problems. I love it. I have used it for over a year and have had no problems. I love it. I have used it for over a year and have had no problems. I have used it for over a year and have had no problems."
0,"Not a fan, it is not an easy task to install.

The only reason I gave it 4 stars is that the plastic parts are very loose, and the cover is very large.

The light is not bright enough to illuminate a room.

It does not have the ability to hold a key.

If you are using the lantern with a flashlight, the flashlight is"
1,I got the wrench to use for adjusting my band saw. The original band saw wrenches were cheap and far too short. This makes saw adjustments much easier and I like that.
0,"so so so cute and soft. The pieces are just too small to fit in the tiny cup.

I had to get a larger version of the game, so it is not that big.

This game is a perfect"
1,"Really enjoyed these two stories.  Both were intertaining ,lovable, an caring. Both like a fairy tale.  Lite hearted n very enjoyable.  Thanks for the good read."
1,"Great story, very interesting characters, and storyline. I really enjoyed the resolution and finding forgiveness. It was a good read."
1,"This review is for the Blu Ray version of Anastasia.  Regrettably, there is not a DVD version included, but the Blu Ray is high quality with a few fun extra features (a couple of games, a drawing Anastasia tutorial, etc.)

All in all, a good buy, as long as the price stays low.

It is a great animated movie, but I won't give the movie a full review since most folks looking to buy the Blu Ray already have seen and love the movie."
1,Great value and well made! They added a lot to my parents' anniversary party and we plan on reusing them for a birthday part next month.
1,"I love lava lamps, but this is a terrible ""tank"" for a Betta. It is much too small, the bubbles will be too strong and move the water more than a Betta will like, and there is no room at the top for them to breath. And from other reviews, the cap on this is air-tight. Your fish will suffocate (all fish require oxygen, it's dissolved in the water and without any air holes, there will be no oxygen. ) And if it is air-tight, the bubbles will increase the pressure inside the ""tank"", leading to stressing the material and the fish which is under the water. If you want this as a novelty light, go ahead. It's ridiculously overpriced for that (you can get a small real lava lamp for 1/3rd the price) but do not use it for a fish ""tank."
0,"Love the farm life, though, and the fact that you can't go wrong with a baby girl.

I had a lot of fun with this book. It was a very enjoyable read. It had a great story line, a good ending.I really enjoyed this book. The characters were strong and likable. I found myself rooting for the characters and I loved how they got together and got their happily ever after. I am looking forward to the next book in this series.I read this book in one sitting, and I absolutely loved it! I was so excited to read this story. The characters were real, and the story flowed perfectly. I could not put it down, and I loved it! I couldn't put it down! I can't wait to see what happens next! I highly recommend this book to everyone!This was a great book. I love the fact that the characters were so real. I would recommend this book to anyone who loves a good story. This is a must read for all.The story was great.  I loved it."
1,"It was a quick read, but it definitely caught my attention to go and download the next book to start reading right away!"
0,Great fun from an indie film. The story is a good one. If you are a fan of
1,"Absolutely fantastic product in every way.

If you don't have a home range that you can erect permanent target hangers and have to bring your targets with you to an open shooting area, these make perfect sense. You just need these corners and 6 sticks of rebar (available at Home Depot or wherever) which are pretty cheap and take a good amount of bullet strike/slag from the targets. I hang two 12"" targets and an 8"" from it and it's rock solid.

I have used these pretty extensively and they look brand new. They are made out of the ""self-healing"" target material and it really does work well. I can carry the whole set-up (broken down) in the cargo hold of my Jeep Grand Cherokee with the seats up."
0,I guess it's o.k.? But it's a very good product.  My only complaint is the extra suction cup.  I wish it had a ring or something to hold it in place.I had to use this to cover my dog's car seat with extra padding. The material is thick and it's very thin. I also have a large dog and I think this has held up well. It does not have a lot of strong metal bars. I think I'll buy another one for my other dog.I have a 50 lb. Shih Tzu who was just a year old when we adopted her. She was absolutely terrified of it and kept scratching
0,I thought the beginning of this book was a little slow but it kept my interest. I'm glad I read it. The second half of the book seemed a bit more exciting and kept me turning the pages. It was a little slow for me.I really enjoyed this book.  I love a good mystery with a good twist.  I have read a lot of Nora Roberts books.  I would recommend this book to anyone who is looking for a good mystery with a
1,"I have not finished it completely, lost interest toward the last.  I plan to finish shortly, and may improve the rating."
1,"Understanding that all wax seals will eventually fail, I researched the alternatives and purchased this Danco seal and a Fluidmaster rubber seal - in case one didn't work properly. The toilet it was to be used with is about a year old and is from the American Standard ""Mainstream"" family.

The floor is tiled and level. The toilet flange is the newest PVC flange that Oatey makes, is ""above the floor"", and level.

The specs on this Danco seal state that it will work with flanges that are ""above the floor"", up to 1/2"" tall.

This seal didn't compress enough to allow the toilet to sit flush with the floor. It just rocked side to side. There was no error with the installation as the toilet was repositioned several times to ensure that a proper ""set down"" onto the Seal was made. There just simply wasn't enough room between the outlet on the bottom of the toilet and the top of the flange for this Seal to fit into.

You know what worked? The cheapie old Harvey wax ring. Prepped and placed the toilet down the first time and flush the toilet sits.

Maybe this Danco Seal works for some combinations of toilets and flange heights - but if you want to save yourself some grief, purchase and have on hand the good ole' wax ring just in case you're in the predicament I was in.

BTW, I've got over 30 years of plumbing experience, so please don't take what I say with to many grains of salt. I am speaking from extensive experience. Good luck with your project..."
1,"These Lowas replaced a pair of Lowa hiking boots I had and loved for almost 15 years. The fit is perfect for my feet,roomy in the front,as hiking boots should be,without being too big. The prune color is just beautiful. Also I am able to wear my orthotics in them comfortably. I look forward to years of happy hiking feet."
0,"Such a great POP! If you have the time, you can't go wrong with this!My son is 6 and loves this toy.  He is the first one to take it out"
0,"He was so excited, he asked me if I'd like to see him play with this! "
1,"I hoped...and hoped...and tried this product in different combinations and sizes. On my granite tops, it's a total failure, except for the sticky residue that's lasted. Both of my climbing cats (neither are kittens), didn't care for the sticky stuff. My main jumper actually kept licking the tape. Haven't bothered trying it on cloth furniture, due to reviews. After taping $50 of this stuff, it's worthless. Perhaps for older cats, but then again, they don't jump like younger cats (not kittens in my home)"
1,Wonderful product.  Shipped promptly.  Ordered about ten sets a gifts.
1,"I usually wear a size small, but I have bigger thighs and a butt for being 5'7"" and 125lbs.  After reading other reviews I thought it would be best to order a size up and I was right.  The M/L fit perfectly and I usually wear a size 4-5.  Otherwise they are good quality and super soft!"
1,"I didn't see size options when I ordered, so the one i received was too large but seemed to get the job done. The zipper can snag a little but otherwise no complaints."
1,"love the color and style of these shoes, I just wish I could wear them longer but I find my feet hurt from the lack of support  after wearing them for a little while (I find the same with all of the chuck taylor styles, sadly!). These are bright and fun and fit well - I am a size 41 and bought the size 10 and it fit right, normally I am a US 11 but the 10 worked for this style."
1,"Did not work, ultimately found its way to the garage. Pieces seem to be made cheaply and did not fit on any of my filters."
0,"These are the cutest, most beautiful containers I've ever used.

The only reason I gave it four stars is that the plastic lid is too small for a tall container. I used this to make a little bread in the oven, and it worked out very well.

The only downside is that the lid is not as solid as the plastic lid on the Oster. I will say that I had to use a different lid to make sure it didn't break, and that is not a big deal for me.

Overall, I'm very happy with the"
1,My 2 year old son loves this train set.  Especially because of the hill.  This toy is great for helping toddlers with there fine motor skills and patients.  Good toy with hours of enjoyment
0,Very good buy for the price. The only problem is that it's kind of hard to put the
0,"I'm super glad I got this set, as it is a great deal for a purchase!  I"
0,I got this for my dog.  It's a good size and my dog loves it.  It's not the best for a small dog but the dog loves it. 
0,"<a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/Keurig-B70-Gourmet-Single-Cup-Home-Brewing-System/dp/B000GTR2F6/ref=cm_cr_arp_d_rvw_txt?ie=UTF8"">Keurig B70 Gourmet Single-Cup Home Brewing System</a>&nbsp;I had to replace a couple of the plastic ones, so it"
1,"The stainless steel is easy to disassemble and clean; it does not absorb bacteria like plastics.  I chose this one because stainless steel is healthier than plastics, and it looks better in my kitchen - like a sculptured water fountain.

After running it for the first time, after a few rotations of water, any residual rubber or machine smells will be gone, as the first reviewer/most helpful reviewer mentioned.

Simple Maintenance is key:

If the motor and pump are disassembled and cleaned properly, you won't need to replace them; you'll only need to replace filters, which are reasonably priced and well worth it.
If you don't clean the motor and  pump well enough or often enough, you will have to purchase a new motor and pump from the Pioneer Pet website (at least they sell it separately, though it's pricey enough to make you think about getting a second fountain.  Maintenance is key to getting 5 star use of this product and keeping its economic value.)

My cat has allergies and urinary tract infection tendencies; water is so important for her to prevent these issues.  She drinks the most from this fountain, laying next to it and sopping it up for minutes, than she ever did from the 2 plastic ones we had before (and eventually stopped working).  This fountain has helped keep her healthy, she's so hydrated.

It's very quiet and will only get noisy if you let the water level fall below the motor's line.  The noisiness is a sound of the motor's slow death - keep that water filled.

Take care of this product (and it doesn't take much; there are easy instructions, even online videos), and your pet will love you for it.  We've had this fountain 2 years this spring. She looks at me with ""I love you"" after I gave it to her the first time, and after I clean it (every week the bowl @ 5 mins, every month all parts @20 mins).  We both love this fountain. 5 Stars."
0,"At first opening - they are a little too big for my dog. However, I am starting to get used to the leash. The leash is very light and easy to take off and on. The only complaint is that the buckle is very thick. This is why I ordered this for the price. It is a bit thin and will not fit my dog well. I will definitely buy another one.This is the first collar I've owned.  I have a 60 pound terrier mix and"
0,"Great straws - very durable and will last a long time.

The only reason I gave"
1,"This book was recommended by a friend and I use it in teaching my nursing students and as a reference.  It is the best reference I have found on EKG Interpretation, making it simpler to understand than other books"
0,"Because it was the first time I saw the movie in theaters, I was really taken by the acting.  The movie is very well done and is well-acted"
0,Gave to my piano students for Christmas and they love it. We also have a bunch of other other items.
1,"This is an AWESOME harness.  My senior Doberman fits perfectly in the XL.  It is comfortable and provides excellent control when walking because the leash attaches over the back instead of at the neck.  The padding is thick and soft.  all of the straps are adjustable going to the center line on his back and for the neck.  Goes on over his large head with ease then can be tightened if needed.  Best harness I've ever had, Roman is a happy dog."
0,Love these socks. They are soft and comfortable. I love them. I also like the fact that they do not have the slip.
1,"This book was very hard to take in, considering the subject matter.  The 'experiments' conducted on people of color, prisoners and the poor, highlights why there is so much distrust of the medical profession and our government."
0,"A brooding, suspenseful, thinking man's life. The story is a good read.

The author has done a great job of describing the characters.  The characters are not predictable, and it is easy to see why.  The main character, a young woman with an excellent sense of humor, is a woman who is trying to save her mother and her baby from a gang of gangsters.  She has a secret and a plan, and she is trying to get"
0,"The rubber flange assembly inside the gun is a little bit too tight. This is a major issue.

I had to replace the factory factory barrel with a new one. I used this to make a little smaller barrel. I am very pleased with the quality of the gun. The gun is a bit smaller than I expected and it is very easy to hold. I wish I could have bought a different gun with the factory barrel."
